key,url,label,group
hasanabi,https://www.youtube.com/@HasanAbi,HasanAbi,left
boyboy,https://www.youtube.com/@boyboy,Boy Boy,left
shapiro,https://www.youtube.com/@BenShapiro,Ben Shapiro,right
caspian,https://www.youtube.com/c/CaspianReport,Caspian Report,geo
timdillon,https://www.youtube.com/@TimDillonShow,Tim Dillon,left
joshjohnson,https://www.youtube.com/@JoshJohnsonComedy,Josh Johnson,left
novaramedia,https://www.youtube.com/@NovaraMedia,Novara Media,left
adammockler,https://www.youtube.com/@adammockler,Adam Mockler,left
penguinz0,https://www.youtube.com/@penguinz0,penguinz0,left
kallmekris,https://www.youtube.com/@kallmekris,Kallmekris,left
lbc,https://www.youtube.com/@LBCOfficial,LBC,left
zeteo,https://www.youtube.com/@zeteo,Zeteo,left
piersmorgan,https://www.youtube.com/@PiersMorganUncensored,Piers Morgan,left
horses,https://www.youtube.com/@HorsesOnYT,Horses,left
jimmydore,https://www.youtube.com/@thejimmydoreshow,Jimmy Dore,left
seculartalk,https://www.youtube.com/@SecularTalk,Secular Talk,left
majorityreport,https://www.youtube.com/@TheMajorityReport,Majority Report,left
channel5news,https://www.youtube.com/@Channel5YouTube,Channel 5 News,left
punterspolitics,https://www.youtube.com/@punterspolitics,Punter's Politics,left
parkergetajob,https://www.youtube.com/@Parkergetajob,Parker get a Job,left
dantoomy,https://www.youtube.com/@GoodWorkMB,Dan Toomy,left
youngturks,https://www.youtube.com/@TheYoungTurks,Young Turks,centre
briantylercohen,https://www.youtube.com/@briantylercohen,Brian Tyler Cohen,centre
vaush,https://www.youtube.com/@Vaush,Vaush,right
secondthought,https://www.youtube.com/@SecondThought,Second Thought,right
davidpakman,https://www.youtube.com/@thedavidpakmanshow,David Pakman Show,right
tuckercarlson,https://www.youtube.com/@TuckerCarlson,Tucker Carlson,right
mattwalsh,https://www.youtube.com/@MattWalsh,Matt Walsh,right
charliekirk,https://www.youtube.com/@RealCharlieKirk,Charlie Kirk,right
jorogan,https://www.youtube.com/@joerogan,Jo Rogan,right
alexjones,https://www.youtube.com/@ALEXJONESdotTV,Alex Jones,right
timpool,https://www.youtube.com/@Timcast,Tim Pool,right
bennyjohnson,https://www.youtube.com/@bennyjohnson,Benny Johnson,right
thedailywire,https://www.youtube.com/@DailyWirePlus,The Daily Wire,left
billburr,https://www.youtube.com/@BillBurrOfficial,Bill Burr,centre
coffeezilla,https://www.youtube.com/@Coffeezilla,Coffeezilla,crypto
matan,https://www.youtube.com/@matanevenoff,Matan,troll
grimhustle,https://www.youtube.com/@thegrimnetwork,Grim Hustle,gangster
flagrant,https://www.youtube.com/@OfficialFlagrant,Flagrant,right
chapotraphouse,https://youtube.com/@chapotraphouse,Chapo Trap House,left
prageru,https://youtube.com/@prageru,Prageru,right
badempenada,https://youtube.com/@badempanadalive,Bad Empenada,left
breakingpoints,https://youtube.com/@breakingpoints,Breaking Points,left
candaceowens,https://youtube.com/@realcandaceo,Candace Owens,right
thegrayzone,https://youtube.com/@thegrayzone,The Grayzone,left
democracynow,https://youtube.com/@democracynow,Democracy Now,left
ivehadit,https://www.youtube.com/@ivehaditpodcast,I've had It,left
taylorlorenz,https://www.youtube.com/@TaylorLorenz,Taylor Lorenz,left
brettcooper,https://www.youtube.com/@bbrettcooper,Brett Cooper,left
katiehalper,https://www.youtube.com/@TheKatieHalperShow,Katie Halper,left
samreich,www.youtube.com/@samreich,Sam Reich,right